"package","date","series","series_id","series_type","frequency","value","category"
"readrba",1990-09-30,"Lending rates; Housing loans; Banks; 3-year fixed; Owner-occupier","FILRHL3YF","Original","Monthly",15.5,"TBC"
"readrba",2015-08-31,"Lending rates; Housing loans; Banks; Variable; Discounted; Investor","FILRHLBVDI","Original","Monthly",4.94,"TBC"
"readrba",2004-06-30,"Lending rates; Housing loans; Banks; Variable; Discounted; Owner-occupier","FILRHLBVD","Original","Monthly",6.59,"TBC"
"readrba",2017-04-30,"Lending rates; Housing loans; Banks; Variable; Standard interest-only; Investor","FILRHLBVDO","Original","Monthly",5.88,"TBC"
"readrba",2015-08-31,"Lending rates; Housing loans; Banks; Variable; Standard interest-only; Owner-occupier","FILRHLBVO","Original","Monthly",5.72,"TBC"
"readrba",2015-08-31,"Lending rates; Housing loans; Banks; Variable; Standard; Investor","FILRHLBVSI","Original","Monthly",5.73,"TBC"
"readrba",1959-01-31,"Lending rates; Housing loans; Banks; Variable; Standard; Owner-occupier","FILRHLBVS","Original","Monthly",5,"TBC"
"readrba",2003-11-30,"Lending rates; Personal loans; Revolving credit; Credit cards; Low rate","FILRPLRCCL","Original","Monthly",10.72,"TBC"
"readrba",1990-01-31,"Lending rates; Personal loans; Revolving credit; Credit cards; Standard","FILRPLRCCS","Original","Monthly",22.72,"TBC"
"readrba",1976-02-29,"Lending rates; Small business; Variable; Overdraft","FILRSBVOO","Original","Monthly",10.46,"TBC"
"readrba",1996-04-30,"Lending rates; Small business; Variable; Term","FILRSBVRT","Original","Monthly",10.5,"TBC"
"readrba",1982-07-31,"Non-rural commodity prices – A$","GRCPNRAD","Original","Monthly",18.7389612198267,"TBC"
"readrba",1965-01-31,"Private dwelling approvals","GISPSDA","Seasonally adjusted","Monthly",8.777,"TBC"
"readrba",1965-01-31,"Private non-residential building approvals","GISPSNBA","Original","Monthly",41.1,"TBC"
"readrba",1965-01-31,"Retail sales","GISSRTC","Seasonally adjusted","Monthly",603.7,"TBC"
"readrba",1982-07-31,"Rural commodity prices – A$","GRCPRCAD","Original","Monthly",27.0562019456784,"TBC"
"readrba",1997-05-31,"United Kingdom Bank Rate","FOOIRUKOBR","Original","Monthly",6.25,"TBC"
"readrba",1980-01-31,"United States Federal Funds Maximum Target Rate","FOOIRUSFFTRMX","Original","Monthly",14,"TBC"
"readrba",1976-08-31,"Broad money","DMABMN","Original","Monthly",49.989,"TBC"
"readrba",1976-08-31,"Broad money: Seasonally adjusted","DMABMS","Seasonally adjusted","Monthly",50.456,"TBC"
"readrba",1984-06-30,"Certificates of deposit issued by ADIs","DMAODCD","Original","Monthly",3.888,"TBC"
"readrba",1959-07-31,"Currency","DMACN","Original","Monthly",0.767,"TBC"
"readrba",1959-07-31,"Currency: Seasonally adjusted","DMACS","Seasonally adjusted","Monthly",0.776,"TBC"
"readrba",1975-02-28,"M1","DMAM1N","Original","Monthly",8.464,"TBC"
"readrba",1975-02-28,"M1: Seasonally adjusted","DMAM1S","Seasonally adjusted","Monthly",8.269,"TBC"
"readrba",1959-07-31,"M3","DMAM3N","Original","Monthly",6.71,"TBC"
"readrba",1965-03-31,"M3: Seasonally adjusted","DMAM3S","Seasonally adjusted","Monthly",10.362,"TBC"
"readrba",1975-02-28,"Money base","DMAMMB","Original","Monthly",4.117,"TBC"
